Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
109,Nic Claxton,25,BRK,C,70,62,1882,0.563,5.3,0.963,0.481,0.359,0.1,0.023,0.037,0.576,0.755,0.397,0.456,0.154,0.238,0.673,1,0.229,119,0.381,0.25,0,0,,claxtni01
319,Andre Drummond,31,PHI,C,40,23,751,0.5,5.4,0.915,0.573,0.299,0.038,0.004,0.085,0.533,0.582,0.471,0.333,0,0.15,0.64,0.667,0.171,36,0.4,0.25,2,0,,drumman01
235,Brandon Clarke,28,MEM,PF,64,18,1207,0.621,5.7,0.955,0.429,0.395,0.132,0,0.045,0.647,0.816,0.553,0.38,,0.059,0.762,1,0.079,29,0.765,0.077,0,0,,clarkbr01
211,Donovan Clingan,20,POR,C,67,37,1324,0.539,5.8,0.853,0.617,0.222,0.009,0.006,0.147,0.582,0.68,0.338,0,0.5,0.286,0.602,1,0.207,58,0.102,0.4,0,0,,clingdo01
421,Tristan Thompson,33,CLE,C,40,0,328,0.437,5.8,0.958,0.465,0.366,0.113,0.014,0.042,0.456,0.606,0.385,0.125,0,0,0.71,,0.155,7,0.333,0,0,0,,thomptr01
563,Terry Taylor,25,SAC,PF,3,0,6,0,5.9,1,0,1,0,0,0,0,,0,,,,,,0,0,,,0,0,,taylote01
210,Ausar Thompson,22,DET,SF,59,48,1328,0.535,6,0.893,0.498,0.352,0.033,0.011,0.107,0.572,0.69,0.451,0.2,0.2,0.224,0.621,1,0.272,107,0.51,0.24,4,0,,thompau01
191,Zach Edey,22,MEM,C,66,55,1416,0.58,6.1,0.88,0.501,0.335,0.035,0.009,0.12,0.612,0.76,0.414,0.4,0.5,0.346,0.635,1,0.236,94,0.308,0.25,0,0,ROY-5,edeyza01
242,Precious Achiuwa,25,NYK,C,57,10,1170,0.502,6.2,0.89,0.523,0.266,0.098,0.003,0.11,0.529,0.661,0.31,0.438,0,0.278,0.695,1,0.171,52,0.75,0.259,0,0,,achiupr01
262,Oso Ighodaro,22,PHO,PF,61,6,1045,0.604,6.4,0.989,0.353,0.358,0.278,0,0.011,0.611,0.833,0.493,0.481,,0,0.858,,0.31,50,0,,1,0,,ighodos01
546,Anton Watson,24,NYK,SF,9,0,22,0.444,6.4,0.889,0.444,0.444,0,0,0.111,0.5,0.75,0.25,,,0,0.75,,0.111,1,0,,0,0,,watsoan02
285,Day'Ron Sharpe,23,BRK,C,50,2,907,0.521,6.6,0.858,0.505,0.29,0.035,0.028,0.142,0.566,0.644,0.446,0.364,0.667,0.244,0.597,1,0.114,29,0.289,0.385,0,0,,sharpda01
163,Isaiah Hartenstein,26,OKC,C,57,53,1590,0.581,6.7,0.96,0.363,0.369,0.225,0.004,0.04,0.605,0.73,0.548,0.509,0,0,0.81,,0.2,89,0.158,0,0,0,,harteis01
536,Ulrich Chomche,19,TOR,PF,7,0,32,0.4,6.9,1,0.4,0.2,0.4,0,0,0.4,0.5,0,0.5,,,1,,0.2,1,,,0,0,,chomcul01
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,0.601,7,0.952,0.511,0.195,0.096,0.15,0.048,0.62,0.773,0.428,0.48,0.439,0.222,0.429,0.5,0.205,243,0.048,0,1,0,MVP-3DPOY-8ASNBA1,antetgi01
186,Isaiah Stewart,23,DET,C,72,4,1434,0.559,7.2,0.832,0.438,0.346,0.041,0.006,0.168,0.607,0.681,0.523,0.615,0,0.321,0.73,1,0.111,35,0.17,0.333,0,0,,stewais01
173,Jonas Valančiūnas,32,2TM,C,81,21,1524,0.55,7.3,0.941,0.319,0.4,0.129,0.093,0.059,0.571,0.67,0.578,0.42,0.414,0.216,0.573,1,0.07,40,0.081,0,0,0,,valanjo01
203,Jeremy Sochan,21,SAS,PF,54,23,1364,0.535,7.4,0.806,0.546,0.207,0.038,0.015,0.194,0.59,0.707,0.361,0.333,0.143,0.308,0.744,0.964,0.196,77,0.385,0.314,0,0,,sochaje01
